itemset	entry	name
217	16952	Judgement Belt
217	16953	Judgement Spaulders
217	16954	Judgement Legplates
217	16955	Judgement Crown
217	16956	Judgement Gauntlets
217	16957	Judgement Sabatons
217	16958	Judgement Breastplate
218	16959	Bracelets of Wrath
218	16960	Waistband of Wrath
218	16961	Pauldrons of Wrath
218	16962	Legplates of Wrath
218	16963	Helm of Wrath
218	16964	Gauntlets of Wrath
218	16965	Sabatons of Wrath
218	16966	Breastplate of Wrath
221	7953	Mask of Thero-Shan
241	17064	Shard of the Scale
241	17082	Shard of the Flame
261	18202	Eskhandar's Left Claw
261	18203	Eskhandar's Right Claw
281	16509	Blood Guard's Plate Boots
281	16510	Blood Guard's Plate Gloves
281	16513	Legionnaire's Plate Armor
281	16514	Champion's Plate Headguard
281	16515	Legionnaire's Plate Legguards
281	16516	Champion's Plate Pauldrons
282	16405	Knight-Lieutenant's Plate Boots
282	16406	Knight-Lieutenant's Plate Gauntlets
282	16429	Lieutenant Commander's Plate Helm
282	16430	Knight-Captain's Plate Chestguard
282	16431	Knight-Captain's Plate Leggings
282	16432	Lieutenant Commander's Plate Pauldrons
301	16518	Blood Guard's Mail Walkers
301	16519	Blood Guard's Mail Grips
301	16521	Champion's Mail Helm
301	16522	Legionnaire's Mail Chestpiece
301	16523	Legionnaire's Mail Leggings
301	16524	Champion's Mail Shoulders
321	12422	Imperial Plate Chest
321	12424	Imperial Plate Belt
321	12425	Imperial Plate Bracers
321	12426	Imperial Plate Boots
321	12427	Imperial Plate Helm
321	12428	Imperial Plate Shoulders
321	12429	Imperial Plate Leggings
341	16485	Blood Guard's Silk Footwraps
341	16487	Blood Guard's Silk Gloves
341	16489	Champion's Silk Hood
341	16490	Legionnaire's Silk Pants
341	16491	Legionnaire's Silk Robes
341	16492	Champion's Silk Shoulderpads
342	17610	Champion's Satin Cowl
342	17611	Legionnaire's Satin Trousers
342	17612	Legionnaire's Satin Vestments
342	17613	Champion's Satin Shoulderpads
342	17616	Blood Guard's Satin Boots
342	17617	Blood Guard's Satin Gloves
343	16369	Knight-Lieutenant's Silk Boots
343	16391	Knight-Lieutenant's Silk Gloves
343	16413	Knight-Captain's Silk Raiment
343	16414	Knight-Captain's Silk Leggings
343	16415	Lieutenant Commander's Silk Spaulders
343	16416	Lieutenant Commander's Crown
344	17594	Knight-Lieutenant's Satin Boots
344	17596	Knight-Lieutenant's Satin Gloves
344	17598	Lieutenant Commander's Diadem
344	17599	Knight-Captain's Satin Leggings
344	17600	Knight-Captain's Satin Robes
344	17601	Lieutenant Commander's Satin Amice
345	17570	Champion's Dreadweave Hood
345	17571	Legionnaire's Dreadweave Leggings
345	17572	Legionnaire's Dreadweave Robe
345	17573	Champion's Dreadweave Shoulders
345	17576	Blood Guard's Dreadweave Boots
345	17577	Blood Guard's Dreadweave Gloves
346	17562	Knight-Lieutenant's Dreadweave Boots
346	17564	Knight-Lieutenant's Dreadweave Gloves
346	17566	Lieutenant Commander's Headguard
346	17567	Knight-Captain's Dreadweave Leggings
346	17568	Knight-Captain's Dreadweave Robe
346	17569	Lieutenant Commander's Dreadweave Mantle
347	16498	Blood Guard's Leather Treads
347	16499	Blood Guard's Leather Vices
347	16505	Legionnaire's Leather Hauberk
347	16506	Champion's Leather Headguard
347	16507	Champion's Leather Mantle
347	16508	Legionnaire's Leather Leggings
348	16392	Knight-Lieutenant's Leather Boots
348	16396	Knight-Lieutenant's Leather Gauntlets
348	16417	Knight-Captain's Leather Armor
348	16418	Lieutenant Commander's Leather Veil
348	16419	Knight-Captain's Leather Legguards
348	16420	Lieutenant Commander's Leather Spaulders
361	16525	Legionnaire's Chain Breastplate
361	16526	Champion's Chain Headguard
361	16527	Legionnaire's Chain Leggings
361	16528	Champion's Chain Pauldrons
361	16530	Blood Guard's Chain Gauntlets
361	16531	Blood Guard's Chain Boots
362	16401	Knight-Lieutenant's Chain Boots
362	16403	Knight-Lieutenant's Chain Gauntlets
362	16425	Knight-Captain's Chain Hauberk
362	16426	Knight-Captain's Chain Leggings
362	16427	Lieutenant Commander's Chain Pauldrons
362	16428	Lieutenant Commander's Chain Helmet
381	16393	Knight-Lieutenant's Dragonhide Footwraps
381	16397	Knight-Lieutenant's Dragonhide Gloves
381	16421	Knight-Captain's Dragonhide Tunic
381	16422	Knight-Captain's Dragonhide Leggings
381	16423	Lieutenant Commander's Dragonhide Epaulets
381	16424	Lieutenant Commander's Dragonhide Shroud
382	16494	Blood Guard's Dragonhide Boots
382	16496	Blood Guard's Dragonhide Gauntlets
382	16501	Champion's Dragonhide Spaulders
382	16502	Legionnaire's Dragonhide Trousers
382	16503	Champion's Dragonhide Helm
382	16504	Legionnaire's Dragonhide Breastplate
383	16541	Warlord's Plate Armor
383	16542	Warlord's Plate Headpiece
383	16543	General's Plate Leggings
383	16544	Warlord's Plate Shoulders
383	16545	General's Plate Boots
383	16548	General's Plate Gauntlets
384	16477	Field Marshal's Plate Armor
384	16478	Field Marshal's Plate Helm
384	16479	Marshal's Plate Legguards
384	16480	Field Marshal's Plate Shoulderguards
384	16483	Marshal's Plate Boots
384	16484	Marshal's Plate Gauntlets
386	16573	General's Mail Boots
386	16574	General's Mail Gauntlets
386	16577	Warlord's Mail Armor
386	16578	Warlord's Mail Helm
386	16579	General's Mail Leggings
386	16580	Warlord's Mail Spaulders
387	16533	Warlord's Silk Cowl
387	16534	General's Silk Trousers
387	16535	Warlord's Silk Raiment
387	16536	Warlord's Silk Amice
387	16539	General's Silk Boots
387	16540	General's Silk Handguards
388	16437	Marshal's Silk Footwraps
388	16440	Marshal's Silk Gloves
388	16441	Field Marshal's Coronet
388	16442	Marshal's Silk Leggings
388	16443	Field Marshal's Silk Vestments
388	16444	Field Marshal's Silk Spaulders
389	17602	Field Marshal's Headdress
389	17603	Marshal's Satin Pants
389	17604	Field Marshal's Satin Mantle
389	17605	Field Marshal's Satin Vestments
389	17607	Marshal's Satin Sandals
389	17608	Marshal's Satin Gloves
390	17618	General's Satin Boots
390	17620	General's Satin Gloves
390	17622	Warlord's Satin Mantle
390	17623	Warlord's Satin Cowl
390	17624	Warlord's Satin Robes
390	17625	General's Satin Leggings
391	17586	General's Dreadweave Boots
391	17588	General's Dreadweave Gloves
391	17590	Warlord's Dreadweave Mantle
391	17591	Warlord's Dreadweave Hood
391	17592	Warlord's Dreadweave Robe
391	17593	General's Dreadweave Pants
392	17578	Field Marshal's Coronal
392	17579	Marshal's Dreadweave Leggings
392	17580	Field Marshal's Dreadweave Shoulders
392	17581	Field Marshal's Dreadweave Robe
392	17583	Marshal's Dreadweave Boots
392	17584	Marshal's Dreadweave Gloves
393	16558	General's Leather Treads
393	16560	General's Leather Mitts
393	16561	Warlord's Leather Helm
393	16562	Warlord's Leather Spaulders
393	16563	Warlord's Leather Breastplate
393	16564	General's Leather Legguards
394	16446	Marshal's Leather Footguards
394	16453	Field Marshal's Leather Chestpiece
394	16454	Marshal's Leather Handgrips
394	16455	Field Marshal's Leather Mask
394	16456	Marshal's Leather Leggings
394	16457	Field Marshal's Leather Epaulets
395	16462	Marshal's Chain Boots
395	16463	Marshal's Chain Grips
395	16465	Field Marshal's Chain Helm
395	16466	Field Marshal's Chain Breastplate
395	16467	Marshal's Chain Legguards
395	16468	Field Marshal's Chain Spaulders
396	16565	Warlord's Chain Chestpiece
396	16566	Warlord's Chain Helmet
396	16567	General's Chain Legguards
396	16568	Warlord's Chain Shoulders
396	16569	General's Chain Boots
396	16571	General's Chain Gloves
397	16448	Marshal's Dragonhide Gauntlets
397	16449	Field Marshal's Dragonhide Spaulders
397	16450	Marshal's Dragonhide Legguards
397	16451	Field Marshal's Dragonhide Helmet
397	16452	Field Marshal's Dragonhide Breastplate
397	16459	Marshal's Dragonhide Boots
398	16549	Warlord's Dragonhide Hauberk
398	16550	Warlord's Dragonhide Helmet
398	16551	Warlord's Dragonhide Epaulets
398	16552	General's Dragonhide Leggings
398	16554	General's Dragonhide Boots
398	16555	General's Dragonhide Gloves
401	16409	Knight-Lieutenant's Lamellar Sabatons
401	16410	Knight-Lieutenant's Lamellar Gauntlets
401	16433	Knight-Captain's Lamellar Breastplate
401	16434	Lieutenant Commander's Lamellar Headguard
401	16435	Knight-Captain's Lamellar Leggings
401	16436	Lieutenant Commander's Lamellar Shoulders
402	16471	Marshal's Lamellar Gloves
402	16472	Marshal's Lamellar Boots
402	16473	Field Marshal's Lamellar Chestplate
402	16474	Field Marshal's Lamellar Faceguard
402	16475	Marshal's Lamellar Legplates
402	16476	Field Marshal's Lamellar Pauldrons
421	19682	Bloodvine Vest
421	19683	Bloodvine Leggings
421	19684	Bloodvine Boots
441	19685	Primal Batskin Jerkin
441	19686	Primal Batskin Gloves
441	19687	Primal Batskin Bracers
442	19688	Blood Tiger Breastplate
442	19689	Blood Tiger Shoulders
443	19690	Bloodsoul Breastplate
443	19691	Bloodsoul Shoulders
443	19692	Bloodsoul Gauntlets
444	19693	Darksoul Breastplate
444	19694	Darksoul Leggings
444	19695	Darksoul Shoulders
461	19865	Warblade of the Hakkari
461	19866	Warblade of the Hakkari
462	19893	Zanzil's Seal
462	19905	Zanzil's Band
463	19896	Thekal's Grasp
463	19910	Arlokk's Grasp
464	19873	Overlord's Crimson Band
464	19912	Overlord's Onyx Band
465	19863	Primalist's Seal
465	19920	Primalist's Band
466	19898	Seal of Jin
466	19925	Band of Jin
467	20041	Highlander's Plate Girdle
467	20048	Highlander's Plate Greaves
467	20057	Highlander's Plate Spaulders
468	20042	Highlander's Lamellar Girdle
468	20049	Highlander's Lamellar Greaves
468	20058	Highlander's Lamellar Spaulders
469	20043	Highlander's Chain Girdle
469	20050	Highlander's Chain Greaves
469	20055	Highlander's Chain Pauldrons
470	20044	Highlander's Mail Girdle
470	20051	Highlander's Mail Greaves
470	20056	Highlander's Mail Pauldrons
471	20045	Highlander's Leather Girdle
471	20052	Highlander's Leather Boots
471	20059	Highlander's Leather Shoulders
472	20046	Highlander's Lizardhide Girdle
472	20053	Highlander's Lizardhide Boots
472	20060	Highlander's Lizardhide Shoulders
473	20047	Highlander's Cloth Girdle
473	20054	Highlander's Cloth Boots
473	20061	Highlander's Epaulets
474	19577	Rage of Mugamba
474	19822	Zandalar Vindicator's Breastplate
474	19823	Zandalar Vindicator's Belt
474	19824	Zandalar Vindicator's Armguards
474	19951	Gri'lek's Charm of Might
475	19588	Hero's Brand
475	19825	Zandalar Freethinker's Breastplate
475	19826	Zandalar Freethinker's Belt
475	19827	Zandalar Freethinker's Armguards
475	19952	Gri'lek's Charm of Valor
476	19609	Unmarred Vision of Voodress
476	19828	Zandalar Augur's Hauberk
476	19829	Zandalar Augur's Belt
476	19830	Zandalar Augur's Bracers
476	19956	Wushoolay's Charm of Spirits
477	19621	Maelstrom's Wrath
477	19831	Zandalar Predator's Mantle
477	19832	Zandalar Predator's Belt
477	19833	Zandalar Predator's Bracers
477	19953	Renataki's Charm of Beasts
478	19617	Zandalarian Shadow Mastery Talisman
478	19834	Zandalar Madcap's Tunic
478	19835	Zandalar Madcap's Mantle
478	19836	Zandalar Madcap's Bracers
478	19954	Renataki's Charm of Trickery
479	19613	Pristine Enchanted South Seas Kelp
479	19838	Zandalar Haruspex's Tunic
479	19839	Zandalar Haruspex's Belt
479	19840	Zandalar Haruspex's Bracers
479	19955	Wushoolay's Charm of Nature
480	19594	The All-Seeing Eye of Zuldazar
480	19841	Zandalar Confessor's Mantle
480	19842	Zandalar Confessor's Bindings
480	19843	Zandalar Confessor's Wraps
480	19958	Hazza'rah's Charm of Healing
481	19605	Kezan's Unstoppable Taint
481	19848	Zandalar Demoniac's Wraps
481	19849	Zandalar Demoniac's Mantle
481	19957	Hazza'rah's Charm of Destruction
481	20033	Zandalar Demoniac's Robe
482	19601	Jewel of Kajaro
482	19845	Zandalar Illusionist's Mantle
482	19846	Zandalar Illusionist's Wraps
482	19959	Hazza'rah's Charm of Magic
482	20034	Zandalar Illusionist's Robe
483	20150	Defiler's Chain Girdle
483	20154	Defiler's Chain Greaves
483	20158	Defiler's Chain Pauldrons
484	20195	Defiler's Mail Girdle
484	20199	Defiler's Mail Greaves
484	20203	Defiler's Mail Pauldrons
485	20159	Defiler's Cloth Boots
485	20163	Defiler's Cloth Girdle
485	20176	Defiler's Epaulets
486	20186	Defiler's Leather Boots
486	20190	Defiler's Leather Girdle
486	20194	Defiler's Leather Shoulders
487	20204	Defiler's Plate Girdle
487	20208	Defiler's Plate Greaves
487	20212	Defiler's Plate Spaulders
488	20167	Defiler's Lizardhide Boots
488	20171	Defiler's Lizardhide Girdle
488	20175	Defiler's Lizardhide Shoulders
489	15050	Black Dragonscale Breastplate
489	15051	Black Dragonscale Shoulders
489	15052	Black Dragonscale Leggings
489	16984	Black Dragonscale Boots
490	15045	Green Dragonscale Breastplate
490	15046	Green Dragonscale Leggings
490	20296	Green Dragonscale Gauntlets
491	15048	Blue Dragonscale Breastplate
491	15049	Blue Dragonscale Shoulders
491	20295	Blue Dragonscale Leggings
492	20406	Twilight Cultist Mantle
492	20407	Twilight Cultist Robe
492	20408	Twilight Cultist Cowl
493	21353	Genesis Helm
493	21354	Genesis Shoulderpads
493	21355	Genesis Boots
493	21356	Genesis Trousers
493	21357	Genesis Vest
494	21407	Mace of Unending Life
494	21408	Band of Unending Life
494	21409	Cloak of Unending Life
495	21392	Sickle of Unyielding Strength
495	21393	Signet of Unyielding Strength
495	21394	Drape of Unyielding Strength
496	21329	Conqueror's Crown
496	21330	Conqueror's Spaulders
496	21331	Conqueror's Breastplate
496	21332	Conqueror's Legguards
496	21333	Conqueror's Greaves
497	21359	Deathdealer's Boots
497	21360	Deathdealer's Helm
497	21361	Deathdealer's Spaulders
497	21362	Deathdealer's Leggings
497	21364	Deathdealer's Vest
498	21404	Dagger of Veiled Shadows
498	21405	Band of Veiled Shadows
498	21406	Cloak of Veiled Shadows
499	21334	Doomcaller's Robes
499	21335	Doomcaller's Mantle
499	21336	Doomcaller's Trousers
499	21337	Doomcaller's Circlet
499	21338	Doomcaller's Footwraps
500	21416	Kris of Unspoken Names
500	21417	Ring of Unspoken Names
500	21418	Shroud of Unspoken Names
501	21372	Stormcaller's Diadem
501	21373	Stormcaller's Footguards
501	21374	Stormcaller's Hauberk
501	21375	Stormcaller's Leggings
501	21376	Stormcaller's Pauldrons
502	21398	Hammer of the Gathering Storm
502	21399	Ring of the Gathering Storm
502	21400	Cloak of the Gathering Storm
503	21343	Enigma Robes
503	21344	Enigma Boots
503	21345	Enigma Shoulderpads
503	21346	Enigma Leggings
503	21347	Enigma Circlet
504	21413	Blade of Vaulted Secrets
504	21414	Band of Vaulted Secrets
504	21415	Drape of Vaulted Secrets
505	21387	Avenger's Crown
505	21388	Avenger's Greaves
505	21389	Avenger's Breastplate
505	21390	Avenger's Legguards
505	21391	Avenger's Pauldrons
506	21395	Blade of Eternal Justice
506	21396	Ring of Eternal Justice
506	21397	Cape of Eternal Justice
507	21348	Tiara of the Oracle
507	21349	Footwraps of the Oracle
507	21350	Mantle of the Oracle
507	21351	Vestments of the Oracle
507	21352	Trousers of the Oracle
508	21410	Gavel of Infinite Wisdom
508	21411	Ring of Infinite Wisdom
508	21412	Shroud of Infinite Wisdom
509	21365	Striker's Footguards
509	21366	Striker's Diadem
509	21367	Striker's Pauldrons
509	21368	Striker's Leggings
509	21370	Striker's Hauberk
510	21401	Scythe of the Unseen Path
510	21402	Signet of the Unseen Path
510	21403	Cloak of the Unseen Path
511	21994	Belt of Heroism
511	21995	Boots of Heroism
511	21996	Bracers of Heroism
511	21997	Breastplate of Heroism
511	21998	Gauntlets of Heroism
511	21999	Helm of Heroism
511	22000	Legplates of Heroism
511	22001	Spaulders of Heroism
512	22002	Darkmantle Belt
512	22003	Darkmantle Boots
512	22004	Darkmantle Bracers
512	22005	Darkmantle Cap
512	22006	Darkmantle Gloves
512	22007	Darkmantle Pants
512	22008	Darkmantle Spaulders
512	22009	Darkmantle Tunic
513	22106	Feralheart Belt
513	22107	Feralheart Boots
513	22108	Feralheart Bracers
513	22109	Feralheart Cowl
513	22110	Feralheart Gloves
513	22111	Feralheart Kilt
513	22112	Feralheart Spaulders
513	22113	Feralheart Vest
514	22078	Virtuous Belt
514	22079	Virtuous Bracers
514	22080	Virtuous Crown
514	22081	Virtuous Gloves
514	22082	Virtuous Mantle
514	22083	Virtuous Robe
514	22084	Virtuous Sandals
514	22085	Virtuous Skirt
515	22010	Beastmaster's Belt
515	22011	Beastmaster's Bindings
515	22013	Beastmaster's Cap
515	22015	Beastmaster's Gloves
515	22016	Beastmaster's Mantle
515	22017	Beastmaster's Pants
515	22060	Beastmaster's Tunic
515	22061	Beastmaster's Boots
516	22086	Soulforge Belt
516	22087	Soulforge Boots
516	22088	Soulforge Bracers
516	22089	Soulforge Breastplate
516	22090	Soulforge Gauntlets
516	22091	Soulforge Helm
516	22092	Soulforge Legplates
516	22093	Soulforge Spaulders
517	22062	Sorcerer's Belt
517	22063	Sorcerer's Bindings
517	22064	Sorcerer's Boots
517	22065	Sorcerer's Crown
517	22066	Sorcerer's Gloves
517	22067	Sorcerer's Leggings
517	22068	Sorcerer's Mantle
517	22069	Sorcerer's Robes
518	22070	Deathmist Belt
518	22071	Deathmist Bracers
518	22072	Deathmist Leggings
518	22073	Deathmist Mantle
518	22074	Deathmist Mask
518	22075	Deathmist Robe
518	22076	Deathmist Sandals
518	22077	Deathmist Wraps
519	22095	Bindings of The Five Thunders
519	22096	Boots of The Five Thunders
519	22097	Coif of The Five Thunders
519	22098	Cord of The Five Thunders
519	22099	Gauntlets of The Five Thunders
519	22100	Kilt of The Five Thunders
519	22101	Pauldrons of The Five Thunders
519	22102	Vest of The Five Thunders
520	22301	Ironweave Robe
520	22302	Ironweave Cowl
520	22303	Ironweave Pants
520	22304	Ironweave Gloves
520	22305	Ironweave Mantle
520	22306	Ironweave Belt
520	22311	Ironweave Boots
520	22313	Ironweave Bracers
521	22488	Dreamwalker Tunic
521	22489	Dreamwalker Legguards
521	22490	Dreamwalker Headpiece
521	22491	Dreamwalker Spaulders
521	22492	Dreamwalker Boots
521	22493	Dreamwalker Handguards
521	22494	Dreamwalker Girdle
521	22495	Dreamwalker Wristguards
521	23064	Ring of the Dreamwalker
522	22856	Blood Guard's Leather Walkers
522	22864	Blood Guard's Leather Grips
522	22879	Legionnaire's Leather Chestpiece
522	22880	Legionnaire's Leather Legguards
522	23257	Champion's Leather Helm
522	23258	Champion's Leather Shoulders
523	22416	Dreadnaught Breastplate
523	22417	Dreadnaught Legplates
523	22418	Dreadnaught Helmet
523	22419	Dreadnaught Pauldrons
523	22420	Dreadnaught Sabatons
523	22421	Dreadnaught Gauntlets
523	22422	Dreadnaught Waistguard
523	22423	Dreadnaught Bracers
523	23059	Ring of the Dreadnaught
524	22476	Bonescythe Breastplate
524	22477	Bonescythe Legplates
524	22478	Bonescythe Helmet
524	22479	Bonescythe Pauldrons
524	22480	Bonescythe Sabatons
524	22481	Bonescythe Gauntlets
524	22482	Bonescythe Waistguard
524	22483	Bonescythe Bracers
524	23060	Bonescythe Ring
525	22512	Robe of Faith
525	22513	Leggings of Faith
525	22514	Circlet of Faith
525	22515	Shoulderpads of Faith
525	22516	Sandals of Faith
525	22517	Gloves of Faith
525	22518	Belt of Faith
525	22519	Bindings of Faith
525	23061	Ring of Faith
526	22496	Frostfire Robe
526	22497	Frostfire Leggings
526	22498	Frostfire Circlet
526	22499	Frostfire Shoulderpads
526	22500	Frostfire Sandals
526	22501	Frostfire Gloves
526	22502	Frostfire Belt
526	22503	Frostfire Bindings
526	23062	Frostfire Ring
527	22464	Earthshatter Tunic
527	22465	Earthshatter Legguards
527	22466	Earthshatter Headpiece
527	22467	Earthshatter Spaulders
527	22468	Earthshatter Boots
