itemset	entry	name	InventoryType
182	16695	Devout Mantle	3
182	16696	Devout Belt	6
182	16694	Devout Skirt	7
182	16691	Devout Sandals	8
182	16697	Devout Bracers	9
182	16692	Devout Gloves	10
182	16690	Devout Robe	20
183	16698	Dreadmist Mask	1
183	16701	Dreadmist Mantle	3
183	16702	Dreadmist Belt	6
183	16699	Dreadmist Leggings	7
183	16704	Dreadmist Sandals	8
183	16703	Dreadmist Bracers	9
183	16705	Dreadmist Wraps	10
183	16700	Dreadmist Robe	20
184	16707	Shadowcraft Cap	1
184	16708	Shadowcraft Spaulders	3
184	16721	Shadowcraft Tunic	5
184	16713	Shadowcraft Belt	6
184	16709	Shadowcraft Pants	7
184	16711	Shadowcraft Boots	8
184	16710	Shadowcraft Bracers	9
184	16712	Shadowcraft Gloves	10
185	16720	Wildheart Cowl	1
185	16718	Wildheart Spaulders	3
185	16706	Wildheart Vest	5
185	16716	Wildheart Belt	6
185	16719	Wildheart Kilt	7
185	16715	Wildheart Boots	8
185	16714	Wildheart Bracers	9
185	16717	Wildheart Gloves	10
186	16677	Beaststalker's Cap	1
186	16679	Beaststalker's Mantle	3
186	16674	Beaststalker's Tunic	5
186	16680	Beaststalker's Belt	6
186	16678	Beaststalker's Pants	7
186	16675	Beaststalker's Boots	8
186	16681	Beaststalker's Bindings	9
186	16676	Beaststalker's Gloves	10
187	16667	Coif of Elements	1
187	16669	Pauldrons of Elements	3
187	16666	Vest of Elements	5
187	16673	Cord of Elements	6
187	16668	Kilt of Elements	7
187	16670	Boots of Elements	8
187	16671	Bindings of Elements	9
187	16672	Gauntlets of Elements	10
188	16727	Lightforge Helm	1
188	16729	Lightforge Spaulders	3
188	16726	Lightforge Breastplate	5
188	16723	Lightforge Belt	6
188	16728	Lightforge Legplates	7
188	16725	Lightforge Boots	8
188	16722	Lightforge Bracers	9
188	16724	Lightforge Gauntlets	10
189	16731	Helm of Valor	1
189	16733	Spaulders of Valor	3
189	16730	Breastplate of Valor	5
189	16736	Belt of Valor	6
189	16732	Legplates of Valor	7
189	16734	Boots of Valor	8
189	16735	Bracers of Valor	9
189	16737	Gauntlets of Valor	10
201	16795	Arcanist Crown	1
201	16797	Arcanist Mantle	3
201	16802	Arcanist Belt	6
201	16796	Arcanist Leggings	7
201	16800	Arcanist Boots	8
201	16799	Arcanist Bindings	9
201	16801	Arcanist Gloves	10
201	16798	Arcanist Robes	20
202	16813	Circlet of Prophecy	1
202	16816	Mantle of Prophecy	3
202	16817	Girdle of Prophecy	6
202	16814	Pants of Prophecy	7
202	16811	Boots of Prophecy	8
202	16819	Vambraces of Prophecy	9
202	16812	Gloves of Prophecy	10
202	16815	Robes of Prophecy	20
203	16808	Felheart Horns	1
203	16807	Felheart Shoulder Pads	3
203	16806	Felheart Belt	6
203	16810	Felheart Pants	7
203	16803	Felheart Slippers	8
203	16804	Felheart Bracers	9
203	16805	Felheart Gloves	10
203	16809	Felheart Robes	20
204	16821	Nightslayer Cover	1
204	16823	Nightslayer Shoulder Pads	3
204	16820	Nightslayer Chestpiece	5
204	16827	Nightslayer Belt	6
204	16822	Nightslayer Pants	7
204	16824	Nightslayer Boots	8
204	16825	Nightslayer Bracelets	9
204	16826	Nightslayer Gloves	10
205	16834	Cenarion Helm	1
205	16836	Cenarion Spaulders	3
205	16828	Cenarion Belt	6
205	16835	Cenarion Leggings	7
205	16829	Cenarion Boots	8
205	16830	Cenarion Bracers	9
205	16831	Cenarion Gloves	10
205	16833	Cenarion Vestments	20
206	16846	Giantstalker's Helmet	1
206	16848	Giantstalker's Epaulets	3
206	16845	Giantstalker's Breastplate	5
206	16851	Giantstalker's Belt	6
206	16847	Giantstalker's Leggings	7
206	16849	Giantstalker's Boots	8
206	16850	Giantstalker's Bracers	9
206	16852	Giantstalker's Gloves	10
207	16842	Earthfury Helmet	1
207	16844	Earthfury Epaulets	3
207	16838	Earthfury Belt	6
207	16843	Earthfury Legguards	7
207	16837	Earthfury Boots	8
207	16840	Earthfury Bracers	9
207	16839	Earthfury Gauntlets	10
207	16841	Earthfury Vestments	20
208	16854	Lawbringer Helm	1
208	16856	Lawbringer Spaulders	3
208	16853	Lawbringer Chestguard	5
208	16858	Lawbringer Belt	6
208	16855	Lawbringer Legplates	7
208	16859	Lawbringer Boots	8
208	16857	Lawbringer Bracers	9
208	16860	Lawbringer Gauntlets	10
209	16866	Helm of Might	1
209	16868	Pauldrons of Might	3
209	16865	Breastplate of Might	5
209	16864	Belt of Might	6
209	16867	Legplates of Might	7
209	16862	Sabatons of Might	8
209	16861	Bracers of Might	9
209	16863	Gauntlets of Might	10
210	16914	Netherwind Crown	1
210	16917	Netherwind Mantle	3
210	16818	Netherwind Belt	6
210	16915	Netherwind Pants	7
210	16912	Netherwind Boots	8
210	16918	Netherwind Bindings	9
210	16913	Netherwind Gloves	10
210	16916	Netherwind Robes	20
211	16921	Halo of Transcendence	1
211	16924	Pauldrons of Transcendence	3
211	16925	Belt of Transcendence	6
211	16922	Leggings of Transcendence	7
211	16919	Boots of Transcendence	8
211	16926	Bindings of Transcendence	9
211	16920	Handguards of Transcendence	10
211	16923	Robes of Transcendence	20
212	16929	Nemesis Skullcap	1
212	16932	Nemesis Spaulders	3
212	16933	Nemesis Belt	6
212	16930	Nemesis Leggings	7
212	16927	Nemesis Boots	8
212	16934	Nemesis Bracers	9
212	16928	Nemesis Gloves	10
212	16931	Nemesis Robes	20
213	16908	Bloodfang Hood	1
213	16832	Bloodfang Spaulders	3
213	16905	Bloodfang Chestpiece	5
213	16910	Bloodfang Belt	6
213	16909	Bloodfang Pants	7
213	16906	Bloodfang Boots	8
213	16911	Bloodfang Bracers	9
213	16907	Bloodfang Gloves	10
214	16900	Stormrage Cover	1
214	16902	Stormrage Pauldrons	3
214	16897	Stormrage Chestguard	5
214	16903	Stormrage Belt	6
214	16901	Stormrage Legguards	7
214	16898	Stormrage Boots	8
214	16904	Stormrage Bracers	9
214	16899	Stormrage Handguards	10
215	16939	Dragonstalker's Helm	1
215	16937	Dragonstalker's Spaulders	3
215	16942	Dragonstalker's Breastplate	5
215	16936	Dragonstalker's Belt	6
215	16938	Dragonstalker's Legguards	7
215	16941	Dragonstalker's Greaves	8
215	16935	Dragonstalker's Bracers	9
215	16940	Dragonstalker's Gauntlets	10
216	16947	Helmet of Ten Storms	1
216	16945	Epaulets of Ten Storms	3
216	16950	Breastplate of Ten Storms	5
216	16944	Belt of Ten Storms	6
216	16946	Legplates of Ten Storms	7
216	16949	Greaves of Ten Storms	8
216	16943	Bracers of Ten Storms	9
216	16948	Gauntlets of Ten Storms	10
217	16955	Judgement Crown	1
217	16953	Judgement Spaulders	3
217	16958	Judgement Breastplate	5
217	16952	Judgement Belt	6
217	16954	Judgement Legplates	7
217	16957	Judgement Sabatons	8
217	16951	Judgement Bindings	9
217	16956	Judgement Gauntlets	10
218	16963	Helm of Wrath	1
218	16961	Pauldrons of Wrath	3
218	16966	Breastplate of Wrath	5
218	16960	Waistband of Wrath	6
218	16962	Legplates of Wrath	7
218	16965	Sabatons of Wrath	8
218	16959	Bracelets of Wrath	9
218	16964	Gauntlets of Wrath	10
221	7953	Mask of Thero-Shan	1
241	17064	Shard of the Scale	12
241	17082	Shard of the Flame	12
261	18203	Eskhandar's Right Claw	21
261	18202	Eskhandar's Left Claw	22
281	16514	Champion's Plate Headguard	1
281	16516	Champion's Plate Pauldrons	3
281	16513	Legionnaire's Plate Armor	5
281	16515	Legionnaire's Plate Legguards	7
281	16509	Blood Guard's Plate Boots	8
281	16510	Blood Guard's Plate Gloves	10
282	16429	Lieutenant Commander's Plate Helm	1
282	16432	Lieutenant Commander's Plate Pauldrons	3
282	16430	Knight-Captain's Plate Chestguard	5
282	16431	Knight-Captain's Plate Leggings	7
282	16405	Knight-Lieutenant's Plate Boots	8
282	16406	Knight-Lieutenant's Plate Gauntlets	10
301	16521	Champion's Mail Helm	1
301	16524	Champion's Mail Shoulders	3
301	16522	Legionnaire's Mail Chestpiece	5
301	16523	Legionnaire's Mail Leggings	7
301	16518	Blood Guard's Mail Walkers	8
301	16519	Blood Guard's Mail Grips	10
321	12427	Imperial Plate Helm	1
321	12428	Imperial Plate Shoulders	3
321	12422	Imperial Plate Chest	5
321	12424	Imperial Plate Belt	6
321	12429	Imperial Plate Leggings	7
321	12426	Imperial Plate Boots	8
321	12425	Imperial Plate Bracers	9
341	16489	Champion's Silk Hood	1
341	16492	Champion's Silk Shoulderpads	3
341	16490	Legionnaire's Silk Pants	7
341	16485	Blood Guard's Silk Footwraps	8
341	16487	Blood Guard's Silk Gloves	10
341	16491	Legionnaire's Silk Robes	20
342	17610	Champion's Satin Cowl	1
342	17613	Champion's Satin Shoulderpads	3
342	17611	Legionnaire's Satin Trousers	7
342	17616	Blood Guard's Satin Boots	8
342	17617	Blood Guard's Satin Gloves	10
342	17612	Legionnaire's Satin Vestments	20
343	16416	Lieutenant Commander's Crown	1
343	16415	Lieutenant Commander's Silk Spaulders	3
343	16414	Knight-Captain's Silk Leggings	7
343	16369	Knight-Lieutenant's Silk Boots	8
343	16391	Knight-Lieutenant's Silk Gloves	10
343	16413	Knight-Captain's Silk Raiment	20
344	17598	Lieutenant Commander's Diadem	1
344	17601	Lieutenant Commander's Satin Amice	3
344	17599	Knight-Captain's Satin Leggings	7
344	17594	Knight-Lieutenant's Satin Boots	8
344	17596	Knight-Lieutenant's Satin Gloves	10
344	17600	Knight-Captain's Satin Robes	20
345	17570	Champion's Dreadweave Hood	1
345	17573	Champion's Dreadweave Shoulders	3
345	17571	Legionnaire's Dreadweave Leggings	7
345	17576	Blood Guard's Dreadweave Boots	8
345	17577	Blood Guard's Dreadweave Gloves	10
345	17572	Legionnaire's Dreadweave Robe	20
346	17566	Lieutenant Commander's Headguard	1
346	17569	Lieutenant Commander's Dreadweave Mantle	3
346	17567	Knight-Captain's Dreadweave Leggings	7
346	17562	Knight-Lieutenant's Dreadweave Boots	8
346	17564	Knight-Lieutenant's Dreadweave Gloves	10
346	17568	Knight-Captain's Dreadweave Robe	20
347	16506	Champion's Leather Headguard	1
347	16507	Champion's Leather Mantle	3
347	16505	Legionnaire's Leather Hauberk	5
347	16508	Legionnaire's Leather Leggings	7
347	16498	Blood Guard's Leather Treads	8
347	16499	Blood Guard's Leather Vices	10
348	16418	Lieutenant Commander's Leather Veil	1
348	16420	Lieutenant Commander's Leather Spaulders	3
348	16417	Knight-Captain's Leather Armor	5
348	16419	Knight-Captain's Leather Legguards	7
348	16392	Knight-Lieutenant's Leather Boots	8
348	16396	Knight-Lieutenant's Leather Gauntlets	10
361	16526	Champion's Chain Headguard	1
361	16528	Champion's Chain Pauldrons	3
361	16525	Legionnaire's Chain Breastplate	5
361	16527	Legionnaire's Chain Leggings	7
361	16531	Blood Guard's Chain Boots	8
361	16530	Blood Guard's Chain Gauntlets	10
362	16428	Lieutenant Commander's Chain Helmet	1
362	16427	Lieutenant Commander's Chain Pauldrons	3
362	16425	Knight-Captain's Chain Hauberk	5
362	16426	Knight-Captain's Chain Leggings	7
362	16401	Knight-Lieutenant's Chain Boots	8
362	16403	Knight-Lieutenant's Chain Gauntlets	10
381	16424	Lieutenant Commander's Dragonhide Shroud	1
381	16423	Lieutenant Commander's Dragonhide Epaulets	3
381	16421	Knight-Captain's Dragonhide Tunic	5
381	16422	Knight-Captain's Dragonhide Leggings	7
381	16393	Knight-Lieutenant's Dragonhide Footwraps	8
381	16397	Knight-Lieutenant's Dragonhide Gloves	10
382	16503	Champion's Dragonhide Helm	1
382	16501	Champion's Dragonhide Spaulders	3
382	16504	Legionnaire's Dragonhide Breastplate	5
382	16502	Legionnaire's Dragonhide Trousers	7
382	16494	Blood Guard's Dragonhide Boots	8
382	16496	Blood Guard's Dragonhide Gauntlets	10
383	16542	Warlord's Plate Headpiece	1
383	16544	Warlord's Plate Shoulders	3
383	16541	Warlord's Plate Armor	5
383	16543	General's Plate Leggings	7
383	16545	General's Plate Boots	8
383	16548	General's Plate Gauntlets	10
384	16478	Field Marshal's Plate Helm	1
384	16480	Field Marshal's Plate Shoulderguards	3
384	16477	Field Marshal's Plate Armor	5
384	16479	Marshal's Plate Legguards	7
384	16483	Marshal's Plate Boots	8
384	16484	Marshal's Plate Gauntlets	10
386	16578	Warlord's Mail Helm	1
386	16580	Warlord's Mail Spaulders	3
386	16577	Warlord's Mail Armor	5
386	16579	General's Mail Leggings	7
386	16573	General's Mail Boots	8
386	16574	General's Mail Gauntlets	10
387	16533	Warlord's Silk Cowl	1
387	16536	Warlord's Silk Amice	3
387	16534	General's Silk Trousers	7
387	16539	General's Silk Boots	8
387	16540	General's Silk Handguards	10
387	16535	Warlord's Silk Raiment	20
388	16441	Field Marshal's Coronet	1
388	16444	Field Marshal's Silk Spaulders	3
388	16442	Marshal's Silk Leggings	7
388	16437	Marshal's Silk Footwraps	8
388	16440	Marshal's Silk Gloves	10
388	16443	Field Marshal's Silk Vestments	20
389	17602	Field Marshal's Headdress	1
389	17604	Field Marshal's Satin Mantle	3
389	17603	Marshal's Satin Pants	7
389	17607	Marshal's Satin Sandals	8
389	17608	Marshal's Satin Gloves	10
389	17605	Field Marshal's Satin Vestments	20
390	17623	Warlord's Satin Cowl	1
390	17622	Warlord's Satin Mantle	3
390	17625	General's Satin Leggings	7
390	17618	General's Satin Boots	8
390	17620	General's Satin Gloves	10
390	17624	Warlord's Satin Robes	20
391	17591	Warlord's Dreadweave Hood	1
391	17590	Warlord's Dreadweave Mantle	3
391	17593	General's Dreadweave Pants	7
391	17586	General's Dreadweave Boots	8
391	17588	General's Dreadweave Gloves	10
391	17592	Warlord's Dreadweave Robe	20
392	17578	Field Marshal's Coronal	1
392	17580	Field Marshal's Dreadweave Shoulders	3
392	17579	Marshal's Dreadweave Leggings	7
392	17583	Marshal's Dreadweave Boots	8
392	17584	Marshal's Dreadweave Gloves	10
392	17581	Field Marshal's Dreadweave Robe	20
393	16561	Warlord's Leather Helm	1
393	16562	Warlord's Leather Spaulders	3
393	16563	Warlord's Leather Breastplate	5
393	16564	General's Leather Legguards	7
393	16558	General's Leather Treads	8
393	16560	General's Leather Mitts	10
394	16455	Field Marshal's Leather Mask	1
394	16457	Field Marshal's Leather Epaulets	3
394	16453	Field Marshal's Leather Chestpiece	5
394	16456	Marshal's Leather Leggings	7
394	16446	Marshal's Leather Footguards	8
394	16454	Marshal's Leather Handgrips	10
395	16465	Field Marshal's Chain Helm	1
395	16468	Field Marshal's Chain Spaulders	3
395	16466	Field Marshal's Chain Breastplate	5
395	16467	Marshal's Chain Legguards	7
395	16462	Marshal's Chain Boots	8
395	16463	Marshal's Chain Grips	10
396	16566	Warlord's Chain Helmet	1
396	16568	Warlord's Chain Shoulders	3
396	16565	Warlord's Chain Chestpiece	5
396	16567	General's Chain Legguards	7
396	16569	General's Chain Boots	8
396	16571	General's Chain Gloves	10
397	16451	Field Marshal's Dragonhide Helmet	1
397	16449	Field Marshal's Dragonhide Spaulders	3
397	16452	Field Marshal's Dragonhide Breastplate	5
397	16450	Marshal's Dragonhide Legguards	7
397	16459	Marshal's Dragonhide Boots	8
397	16448	Marshal's Dragonhide Gauntlets	10
398	16550	Warlord's Dragonhide Helmet	1
398	16551	Warlord's Dragonhide Epaulets	3
398	16549	Warlord's Dragonhide Hauberk	5
398	16552	General's Dragonhide Leggings	7
398	16554	General's Dragonhide Boots	8
398	16555	General's Dragonhide Gloves	10
401	16434	Lieutenant Commander's Lamellar Headguard	1
401	16436	Lieutenant Commander's Lamellar Shoulders	3
401	16433	Knight-Captain's Lamellar Breastplate	5
401	16435	Knight-Captain's Lamellar Leggings	7
401	16409	Knight-Lieutenant's Lamellar Sabatons	8
401	16410	Knight-Lieutenant's Lamellar Gauntlets	10
402	16474	Field Marshal's Lamellar Faceguard	1
402	16476	Field Marshal's Lamellar Pauldrons	3
402	16473	Field Marshal's Lamellar Chestplate	5
402	16475	Marshal's Lamellar Legplates	7
402	16472	Marshal's Lamellar Boots	8
402	16471	Marshal's Lamellar Gloves	10
421	19682	Bloodvine Vest	5
421	19683	Bloodvine Leggings	7
421	19684	Bloodvine Boots	8
441	19685	Primal Batskin Jerkin	5
441	19687	Primal Batskin Bracers	9
441	19686	Primal Batskin Gloves	10
442	19689	Blood Tiger Shoulders	3
442	19688	Blood Tiger Breastplate	5
443	19691	Bloodsoul Shoulders	3
443	19690	Bloodsoul Breastplate	5
443	19692	Bloodsoul Gauntlets	10
444	19695	Darksoul Shoulders	3
444	19693	Darksoul Breastplate	5
444	19694	Darksoul Leggings	7
461	19865	Warblade of the Hakkari	21
461	19866	Warblade of the Hakkari	22
462	19893	Zanzil's Seal	11
462	19905	Zanzil's Band	11
463	19896	Thekal's Grasp	21
463	19910	Arlokk's Grasp	22
464	19873	Overlord's Crimson Band	11
464	19912	Overlord's Onyx Band	11
465	19863	Primalist's Seal	11
465	19920	Primalist's Band	11
466	19898	Seal of Jin	11
466	19925	Band of Jin	11
467	20057	Highlander's Plate Spaulders	3
467	20041	Highlander's Plate Girdle	6
467	20048	Highlander's Plate Greaves	8
468	20058	Highlander's Lamellar Spaulders	3
468	20042	Highlander's Lamellar Girdle	6
468	20049	Highlander's Lamellar Greaves	8
469	20055	Highlander's Chain Pauldrons	3
469	20043	Highlander's Chain Girdle	6
469	20050	Highlander's Chain Greaves	8
470	20056	Highlander's Mail Pauldrons	3
470	20044	Highlander's Mail Girdle	6
470	20051	Highlander's Mail Greaves	8
471	20059	Highlander's Leather Shoulders	3
471	20045	Highlander's Leather Girdle	6
471	20052	Highlander's Leather Boots	8
472	20060	Highlander's Lizardhide Shoulders	3
472	20046	Highlander's Lizardhide Girdle	6
472	20053	Highlander's Lizardhide Boots	8
473	20061	Highlander's Epaulets	3
473	20047	Highlander's Cloth Girdle	6
473	20054	Highlander's Cloth Boots	8
474	19577	Rage of Mugamba	2
474	19822	Zandalar Vindicator's Breastplate	5
474	19823	Zandalar Vindicator's Belt	6
474	19824	Zandalar Vindicator's Armguards	9
474	19951	Gri'lek's Charm of Might	12
475	19588	Hero's Brand	2
475	19825	Zandalar Freethinker's Breastplate	5
475	19826	Zandalar Freethinker's Belt	6
475	19827	Zandalar Freethinker's Armguards	9
475	19952	Gri'lek's Charm of Valor	12
476	19609	Unmarred Vision of Voodress	2
476	19828	Zandalar Augur's Hauberk	5
476	19829	Zandalar Augur's Belt	6
476	19830	Zandalar Augur's Bracers	9
476	19956	Wushoolay's Charm of Spirits	12
477	19621	Maelstrom's Wrath	2
477	19831	Zandalar Predator's Mantle	3
477	19832	Zandalar Predator's Belt	6
477	19833	Zandalar Predator's Bracers	9
477	19953	Renataki's Charm of Beasts	12
478	19617	Zandalarian Shadow Mastery Talisman	2
478	19835	Zandalar Madcap's Mantle	3
478	19834	Zandalar Madcap's Tunic	5
478	19836	Zandalar Madcap's Bracers	9
478	19954	Renataki's Charm of Trickery	12
479	19613	Pristine Enchanted South Seas Kelp	2
479	19838	Zandalar Haruspex's Tunic	5
479	19839	Zandalar Haruspex's Belt	6
479	19840	Zandalar Haruspex's Bracers	9
479	19955	Wushoolay's Charm of Nature	12
480	19594	The All-Seeing Eye of Zuldazar	2
480	19841	Zandalar Confessor's Mantle	3
480	19842	Zandalar Confessor's Bindings	6
480	19843	Zandalar Confessor's Wraps	9
480	19958	Hazza'rah's Charm of Healing	12
481	19605	Kezan's Unstoppable Taint	2
481	19849	Zandalar Demoniac's Mantle	3
481	19848	Zandalar Demoniac's Wraps	9
481	19957	Hazza'rah's Charm of Destruction	12
481	20033	Zandalar Demoniac's Robe	20
482	19601	Jewel of Kajaro	2
482	19845	Zandalar Illusionist's Mantle	3
482	19846	Zandalar Illusionist's Wraps	9
482	19959	Hazza'rah's Charm of Magic	12
482	20034	Zandalar Illusionist's Robe	20
483	20158	Defiler's Chain Pauldrons	3
483	20150	Defiler's Chain Girdle	6
483	20154	Defiler's Chain Greaves	8
484	20203	Defiler's Mail Pauldrons	3
484	20195	Defiler's Mail Girdle	6
484	20199	Defiler's Mail Greaves	8
485	20176	Defiler's Epaulets	3
485	20163	Defiler's Cloth Girdle	6
485	20159	Defiler's Cloth Boots	8
486	20194	Defiler's Leather Shoulders	3
486	20190	Defiler's Leather Girdle	6
486	20186	Defiler's Leather Boots	8
487	20212	Defiler's Plate Spaulders	3
487	20204	Defiler's Plate Girdle	6
487	20208	Defiler's Plate Greaves	8
488	20175	Defiler's Lizardhide Shoulders	3
488	20171	Defiler's Lizardhide Girdle	6
488	20167	Defiler's Lizardhide Boots	8
489	15051	Black Dragonscale Shoulders	3
489	15050	Black Dragonscale Breastplate	5
489	15052	Black Dragonscale Leggings	7
489	16984	Black Dragonscale Boots	8
490	15045	Green Dragonscale Breastplate	5
490	15046	Green Dragonscale Leggings	7
490	20296	Green Dragonscale Gauntlets	10
491	15049	Blue Dragonscale Shoulders	3
491	15048	Blue Dragonscale Breastplate	5
491	20295	Blue Dragonscale Leggings	7
492	20408	Twilight Cultist Cowl	1
492	20406	Twilight Cultist Mantle	3
492	20407	Twilight Cultist Robe	20
493	21353	Genesis Helm	1
493	21354	Genesis Shoulderpads	3
493	21357	Genesis Vest	5
493	21356	Genesis Trousers	7
493	21355	Genesis Boots	8
494	21408	Band of Unending Life	11
494	21409	Cloak of Unending Life	16
494	21407	Mace of Unending Life	17
495	21393	Signet of Unyielding Strength	11
495	21392	Sickle of Unyielding Strength	13
495	21394	Drape of Unyielding Strength	16
496	21329	Conqueror's Crown	1
496	21330	Conqueror's Spaulders	3
496	21331	Conqueror's Breastplate	5
496	21332	Conqueror's Legguards	7
496	21333	Conqueror's Greaves	8
497	21360	Deathdealer's Helm	1
497	21361	Deathdealer's Spaulders	3
497	21364	Deathdealer's Vest	5
497	21362	Deathdealer's Leggings	7
497	21359	Deathdealer's Boots	8
498	21405	Band of Veiled Shadows	11
498	21404	Dagger of Veiled Shadows	13
498	21406	Cloak of Veiled Shadows	16
499	21337	Doomcaller's Circlet	1
499	21335	Doomcaller's Mantle	3
499	21336	Doomcaller's Trousers	7
499	21338	Doomcaller's Footwraps	8
499	21334	Doomcaller's Robes	20
500	21417	Ring of Unspoken Names	11
500	21418	Shroud of Unspoken Names	16
500	21416	Kris of Unspoken Names	21
501	21372	Stormcaller's Diadem	1
501	21376	Stormcaller's Pauldrons	3
501	21374	Stormcaller's Hauberk	5
501	21375	Stormcaller's Leggings	7
501	21373	Stormcaller's Footguards	8
502	21399	Ring of the Gathering Storm	11
502	21400	Cloak of the Gathering Storm	16
502	21398	Hammer of the Gathering Storm	21
503	21347	Enigma Circlet	1
503	21345	Enigma Shoulderpads	3
503	21346	Enigma Leggings	7
503	21344	Enigma Boots	8
503	21343	Enigma Robes	20
504	21414	Band of Vaulted Secrets	11
504	21415	Drape of Vaulted Secrets	16
504	21413	Blade of Vaulted Secrets	21
505	21387	Avenger's Crown	1
505	21391	Avenger's Pauldrons	3
505	21389	Avenger's Breastplate	5
505	21390	Avenger's Legguards	7
505	21388	Avenger's Greaves	8
506	21396	Ring of Eternal Justice	11
506	21395	Blade of Eternal Justice	13
506	21397	Cape of Eternal Justice	16
507	21348	Tiara of the Oracle	1
507	21350	Mantle of the Oracle	3
507	21352	Trousers of the Oracle	7
507	21349	Footwraps of the Oracle	8
507	21351	Vestments of the Oracle	20
508	21411	Ring of Infinite Wisdom	11
508	21412	Shroud of Infinite Wisdom	16
508	21410	Gavel of Infinite Wisdom	21
509	21366	Striker's Diadem	1
509	21367	Striker's Pauldrons	3
509	21370	Striker's Hauberk	5
509	21368	Striker's Leggings	7
509	21365	Striker's Footguards	8
510	21402	Signet of the Unseen Path	11
510	21401	Scythe of the Unseen Path	13
510	21403	Cloak of the Unseen Path	16
511	21999	Helm of Heroism	1
511	22001	Spaulders of Heroism	3
511	21997	Breastplate of Heroism	5
511	21994	Belt of Heroism	6
511	22000	Legplates of Heroism	7
511	21995	Boots of Heroism	8
511	21996	Bracers of Heroism	9
511	21998	Gauntlets of Heroism	10
512	22005	Darkmantle Cap	1
512	22008	Darkmantle Spaulders	3
512	22009	Darkmantle Tunic	5
512	22002	Darkmantle Belt	6
512	22007	Darkmantle Pants	7
512	22003	Darkmantle Boots	8
512	22004	Darkmantle Bracers	9
512	22006	Darkmantle Gloves	10
513	22109	Feralheart Cowl	1
513	22112	Feralheart Spaulders	3
513	22113	Feralheart Vest	5
513	22106	Feralheart Belt	6
513	22111	Feralheart Kilt	7
513	22107	Feralheart Boots	8
513	22108	Feralheart Bracers	9
513	22110	Feralheart Gloves	10
514	22080	Virtuous Crown	1
514	22082	Virtuous Mantle	3
514	22078	Virtuous Belt	6
514	22085	Virtuous Skirt	7
514	22084	Virtuous Sandals	8
514	22079	Virtuous Bracers	9
514	22081	Virtuous Gloves	10
514	22083	Virtuous Robe	20
515	22013	Beastmaster's Cap	1
515	22016	Beastmaster's Mantle	3
515	22060	Beastmaster's Tunic	5
515	22010	Beastmaster's Belt	6
515	22017	Beastmaster's Pants	7
515	22061	Beastmaster's Boots	8
515	22011	Beastmaster's Bindings	9
515	22015	Beastmaster's Gloves	10
516	22091	Soulforge Helm	1
516	22093	Soulforge Spaulders	3
516	22089	Soulforge Breastplate	5
516	22086	Soulforge Belt	6
516	22092	Soulforge Legplates	7
516	22087	Soulforge Boots	8
