entry	name	learn_spell_id	spellid_1	spelltrigger_1
32616	Egbert's Egg	40614	55884	0
32617	Sleepy Willy	40613	55884	0
32622	Elekk Training Collar	40634	55884	0
32670	Depleted Two-Handed Axe	NULL	40757	0
32671	Depleted Mace	NULL	9332	1
32672	Depleted Badge	NULL	40744	0
32673	Depleted Dagger	NULL	14049	1
32674	Depleted Sword	NULL	34796	1
32675	Depleted Mail Gauntlets	NULL	15814	1
32676	Depleted Cloth Bracers	NULL	14047	1
32677	Depleted Cloak	NULL	40747	0
32678	Depleted Ring	NULL	40754	0
32679	Depleted Staff	NULL	33250	1
32681	Onyx Scale of Rivendark	NULL	40766	0
32682	Obsidia Scale	NULL	40767	0
32683	Jet Scale of Furywing	NULL	40765	0
32684	Insidion's Ebony Scale	NULL	40764	0
32895	Scroll of the Maelstrom	NULL	42801	0
32896	Scroll of the Sun	NULL	42801	0
32911	Empty Brewfest Stein	NULL	3366	0
33096	Complimentary Brewfest Sampler	NULL	42436	0
33147	Formula: Enchant Cloak - Subtlety	25084	483	0
33189	Rickety Magic Broom	NULL	42692	0
33223	Fishing Chair	NULL	42766	0
33634	Orehammer's Precision Bombs	NULL	43403	0
33784	Darkrune Fragment	NULL	43521	0
34480	Romantic Picnic Basket	NULL	45094	0
34494	Paper Zeppelin	NULL	45129	0
34497	Paper Flying Machine	NULL	45133	0
34498	Paper Zeppelin Kit	NULL	45131	0
34499	Paper Flying Machine Kit	NULL	45135	0
34955	Scorched Stone	45890	55884	0
35586	Frozen Axe	NULL	46700	0
35722	Foror's Wipe Neutralizer	NULL	29820	0
37312	Carrot on a Stick	NULL	48401	0
37888	Arcane Disruptor	NULL	49590	0
43150	Defense Control Crystal	NULL	57804	0
43627	Thrall's Gold Coin	NULL	59125	0
43628	Lady Jaina Proudmoore's Gold Coin	NULL	59125	0
43629	Uther Lightbringer's Gold Coin	NULL	59125	0
43630	Tirion Fordring's Gold Coin	NULL	59125	0
43631	Teron's Gold Coin	NULL	59125	0
43632	Sylvanas Windrunner's Gold Coin	NULL	59125	0
43633	Prince Kael'thas Sunstrider's Gold Coin	NULL	59125	0
43634	Lady Katrana Prestor's Gold Coin	NULL	59125	0
43635	Kel'Thuzad's Gold Coin	NULL	59125	0
43636	Chromie's Gold Coin	NULL	59125	0
43637	Brann Bronzebeard's Gold Coin	NULL	59125	0
43638	Arugal's Gold Coin	NULL	59125	0
43639	Arthas' Gold Coin	NULL	59125	0
43640	Archimonde's Gold Coin	NULL	59125	0
43641	Anduin Wrynn's Gold Coin	NULL	59125	0
44430	Titanium Seal of Dalaran	NULL	60458	0
44794	Spring Rabbit's Foot	61725	55884	0
44810	Turkey Cage	61773	55884	0
45924	Certificate of Appreciation	NULL	64347	0
45984	Unusual Compass	NULL	64385	0
46396	Wolvar Orphan Whistle	NULL	65353	0
46397	Oracle Orphan Whistle	NULL	65352	0
49703	Perpetual Purple Firework	NULL	30161	0
49704	Carved Ogre Idol	NULL	30167	0
49917	Brazie's Gnomish Pleasure Device	NULL	70660	0
49918	Brazie's Guide to Getting Good with Gnomish Girls	NULL	-1	0
49922	Brazie's Dictionary of Devilish Draenei Damsels	NULL	-1	0
49923	Brazie's Document on Dwarven Dates in Dun Morogh	NULL	-1	0
49924	Brazie's Notes on Naughty Night Elves	NULL	-1	0
49925	Brazie's Handbook to Handling Human Hunnies	NULL	-1	0
53641	Ice Chip	74932	55884	0
54452	Ethereal Portal	NULL	75136	0
