entry	name	learn_spell_id
38658	Vampiric Batling	51851
39148	Baby Coralshell Turtle	NULL
39286	Frosty's Collar	52615
39656	Tyrael's Hilt	53082
39896	Tickbird Hatchling	61348
39898	Cobra Hatchling	61351
39899	White Tickbird Hatchling	61349
39973	Ghostly Skull	53316
40355	NPC Equip 40355	NULL
40653	Reeking Pet Carrier	40990
41133	Unhatched Mr. Chilly	55068
43517	Penguin Egg	61357
43698	Giant Sewer Rat	59250
44721	Proto-Drake Whelp	61350
44723	Nurtured Penguin Egg	61357
44738	Kirin Tor Familiar	61472
44819	Baby Blizzard Bear	61855
44820	Red Ribbon Pet Leash	NULL
44822	Albino Snake	10713
44823	NPC Equip 44823	NULL
44824	NPC Equip 44824	NULL
44825	NPC Equip 44825	NULL
44826	NPC Equip 44826	NULL
44827	NPC Equip 44827	NULL
44828	NPC Equip 44828	NULL
44829	NPC Equip 44829	NULL
44841	Little Fawn's Salt Lick	61991
44965	Teldrassil Sproutling	62491
44970	Dun Morogh Cub	62508
44971	Tirisfal Batling	62510
44972	Alarming Clockbot (NOT IN USE)	62514
44973	Durotar Scorpion	62513
44974	Elwynn Lamb	62516
44980	Mulgore Hatchling	62542
44982	Enchanted Broom	62564
44983	Strand Crawler	62561
44984	Ammen Vale Lashling	62562
44998	Argent Squire	62609
45002	Mechanopeep	62674
45022	Argent Gruntling	62746
45180	Murkimus' Little Spear	63318
45606	Sen'jin Fetish	63712
45942	XS-001 Constructor Bot	64351
46398	Calico Cat	65358
46544	Curious Wolvar Pup	65382
46545	Curious Oracle Hatchling	65381
46707	Pint-Sized Pink Pachyderm	44369
46767	Warbot Ignition Key	65682
46802	Heavy Murloc Egg	66030
46820	Shimmering Wyrmling	66096
46821	Shimmering Wyrmling	66096
46831	Macabre Marionette	NULL
46890	NPC Equip 46890	NULL
46891	NPC Equip 46891	NULL
46892	Murkimus' Tiny Spear	63318
46894	NPC Equip 46894	NULL
48112	Darting Hatchling	67413
48114	Deviate Hatchling	67414
48116	Gundrak Hatchling	67415
48118	Leaping Hatchling	67416
48120	Obsidian Hatchling	67417
48122	Ravasaur Hatchling	67418
48124	Razormaw Hatchling	67419
48126	Razzashi Hatchling	67420
48527	Enchanted Onyx	67527
49287	Tuskarr Kite	68767
49343	Spectral Tiger Cub	68810
49362	Onyxian Whelpling	69002
49646	Core Hound Pup	69452
49659	NPC Equip 49659	NULL
49660	NPC Equip 49660	NULL
49662	Gryphon Hatchling	69535
49663	Wind Rider Cub	69536
49664	NPC Equip 49664	NULL
49665	Pandaren Monk	69541
49693	Lil' Phylactery	69677
49911	NPC Equip 49911	NULL
49912	Perky Pug	70613
50151	NPC Equip 50151	NULL
50446	Toxic Wasteling	71840
54436	Blue Clockwork Rocket Bot	75134
54810	Celestial Dragon	75613
54847	Lil' XT	75906
54857	Murkimus' Little Spear	75936
56806	Mini Thor	78381
